UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
113096,1,29,3,4,R,13949,R,6173,R,7776,R,81,R,27,R,54,R,3867,R,1869,R,1998,R,1948,R,746,R,1202,R,3240,R,1421,R,1819,R,266,R,110,R,156,R,3371,R,1454,R,1917,R,780,R,366,R,414,R,305,R,136,R,169,R,91,R,44,R,47
101161,1,29,3,4,R,4362,R,1593,R,2769,R,82,R,28,R,54,R,32,R,8,R,24,R,920,R,282,R,638,R,119,R,54,R,65,R,5,R,2,R,3,R,3122,R,1190,R,1932,R,70,R,27,R,43,R,9,R,2,R,7,R,3,R,0,R,3
101189,1,29,3,4,R,3193,R,1203,R,1990,R,21,R,10,R,11,R,25,R,11,R,14,R,1460,R,354,R,1106,R,49,R,26,R,23,R,9,R,7,R,2,R,1475,R,708,R,767,R,38,R,21,R,17,R,70,R,35,R,35,R,46,R,31,R,15
101240,1,29,3,4,R,5797,R,2364,R,3433,R,43,R,20,R,23,R,33,R,17,R,16,R,1182,R,476,R,706,R,151,R,55,R,96,R,8,R,3,R,5,R,3941,R,1570,R,2371,R,105,R,36,R,69,R,220,R,128,R,92,R,114,R,59,R,55
101277,1,29,3,4,R,89,R,1,R,88,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,3,R,0,R,3,R,0,R,0,R,0,R,83,R,1,R,82,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
101286,1,29,3,4,R,4686,R,1590,R,3096,R,22,R,8,R,14,R,31,R,7,R,24,R,1425,R,416,R,1009,R,109,R,45,R,64,R,8,R,1,R,7,R,3033,R,1101,R,1932,R,56,R,12,R,44,R,2,R,0,R,2,R,0,R,0,R,0
101295,1,29,3,4,R,5281,R,1998,R,3283,R,38,R,15,R,23,R,23,R,5,R,18,R,292,R,93,R,199,R,149,R,56,R,93,R,1,R,1,R,0,R,4644,R,1765,R,2879,R,0,R,0,R,0,R,100,R,39,R,61,R,34,R,24,R,10
101301,1,29,3,4,R,1745,R,590,R,1155,R,7,R,2,R,5,R,11,R,10,R,1,R,1300,R,414,R,886,R,11,R,3,R,8,R,3,R,0,R,3,R,404,R,160,R,244,R,7,R,1,R,6,R,1,R,0,R,1,R,1,Z,0,R,1
101365,1,29,3,4,R,320,R,100,R,220,Z,0,Z,0,Z,0,R,3,R,2,R,1,R,187,R,22,R,165,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,112,R,70,R,42,R,11,R,3,R,8,R,5,R,3,R,2,Z,0,Z,0,Z,0
101435,1,29,3,4,R,1110,R,553,R,557,R,7,R,2,R,5,R,10,R,5,R,5,R,211,R,110,R,101,R,22,R,9,R,13,R,2,Z,0,R,2,R,646,R,339,R,307,R,30,R,21,R,9,R,178,R,64,R,114,R,4,R,3,R,1
