UNITID,TUITION2,FEE2
115533,12975,120
115728,30050,340
115746,.,.
115755,5472,1590
115773,10620,0
115861,1008,30
116226,17950,95
116439,1103,34
116466,17748,300
116475,17748,300
116484,17748,300
116712,14400,234
116846,24744,1044
117052,864,34
117104,12000,500
117113,18648,100
117140,31300,0
117168,23730,0
117195,936,12
117247,1008,38
117274,864,23
117520,.,.
117557,8845,375
117575,12708,360
117627,26136,1095
117636,26400,2696
117645,1008,74
117672,.,.
117690,958,2
117706,958,1
117715,958,2
117724,958,2
117733,958,2
117751,26260,390
117788,958,1
117803,.,.
117867,958,2
117894,1008,10
117928,18648,0
117946,36912,693
118347,1080,36
118541,27396,450
118684,864,42
118693,34476,600
118718,864,34
118772,1008,38
118888,38066,1198
118912,864,44
118930,864,66
118976,864,46
119058,32800,56
119067,864,54
119137,780,44
119164,824,50
119173,30696,946
119216,1080,0
119234,18000,0
119270,23175,0
119331,864,38
119359,14364,0
119368,14904,90
119508,13536,0
119544,7608,300
119605,11376,0
119678,.,.
119775,22995,422
120166,7200,250
120184,29610,280
120254,41860,1011
120290,864,54
120342,864,62
120403,34454,950
120421,780,44
120537,23600,464
120698,13731,4169
120740,.,.
120768,17496,60
120795,.,.
120838,18740,600
120865,25740,225
120883,35770,520
120953,1008,0
120971,1008,44
121044,912,48
121071,13440,0
121150,40500,252
121257,38832,3718
121275,25120,0
121309,27700,610
121345,39572,310
121363,1008,34
121381,14765,255
121619,864,34
121628,.,.
121691,37002,300
121707,864,24
121886,864,53
121901,1080,37
121983,12240,372
122117,6612,400
122180,0,972
122205,728,34
122296,37648,1335
122339,864,34
122366,15512,1400
122375,864,34
122384,864,34
122409,5472,1106
122436,38150,432
122454,34046,870
122506,36500,280
122597,5472,804
122603,.,.
122612,37040,384
122649,.,.
122658,864,0
122685,14125,100
122694,14125,100
122728,20422,1378
122746,1008,34
122755,5472,1356
122791,624,34
122834,10957,693
122843,14153,968
122852,11309,694
122889,1008,86
122931,39048,0
122977,864,32
123013,980,34
123095,.,.
123165,41736,214
123217,728,70
123280,9600,720
123299,744,76
123341,864,44
123396,10000,0
123448,.,.
123457,21600,0
123484,864,36
123509,1080,31
123527,0,795
123554,37000,150
123563,1080,36
123572,5472,1390
123633,7650,300
123651,27400,0
123800,1008,44
123855,.,.
123916,.,.
123943,7500,105
123952,30250,350
123961,42162,656
123970,.,.
124113,1080,0
124283,.,.
124292,22850,0
124487,10305,500
125028,780,44
125037,.,.
125091,864,10
125170,1008,38
125231,10400,210
125462,864,0
125471,958,2
125499,864,72
125718,.,.
125727,34570,1080
125763,36632,360
125897,29604,390
126012,.,.
126030,.,.
126049,.,.
126076,11500,700
126119,956,20
126182,3312,2315
126207,2328,498
126289,2540,185
126359,10087,0
126401,14040,0
126410,11552,720
126562,6336,1058
126580,5376,1036
126605,13274,0
126614,7672,1480
126669,17710,350
126678,39900,0
126702,17532,300
126711,2670,180
126748,2540,200
126775,12584,1869
126818,6307,1645
126827,10440,225
126863,3175,179
126872,15790,0
126924,11300,875
126942,2540,717
126979,.,.
127024,14617,306
127060,36936,897
127185,4048,1544
127200,2540,223
127273,.,.
127389,2540,394
127556,5394,717
127565,3809,1025
127617,2570,318
127653,26210,150
127680,12758,405
127699,12758,405
127714,10050,750
127732,2540,571
127741,5300,1323
127778,3174,266
127787,15660,0
127820,6042,542
127884,2541,511
127909,2540,243
127918,30588,600
127945,27648,0
128106,4592,1678
128151,2280,96
128258,2310,491
128328,0,0
128391,3922,1551
128425,7700,350
128498,25824,470
128577,3096,394
128586,5250,100
128683,18500,550
128726,9493,1000
128744,25200,2130
128771,4124,3931
128780,5664,330
128902,43695,295
129002,17821,0
129020,8256,2414
129154,18900,500
129215,4124,4431
129242,39990,590
129367,3096,394
129428,.,.
129491,.,.
129525,29440,1314
129534,9840,0
129543,3096,394
129613,11119,0
129686,25248,1536
129695,3096,394
129729,3096,394
129756,3096,394
129774,25994,1720
129808,3096,394
129941,30500,1250
130004,3096,394
130040,3096,394
130110,12600,360
130174,17821,0
130183,24800,1100
130217,3096,394
130226,34710,1420
130253,32474,250
130314,28960,1350
130396,3096,394
130448,13671,860
130493,4124,4124
130581,.,.
130590,41980,2090
130606,3096,394
130624,0,0
130697,43404,270
130776,4124,3980
130785,.,.
130794,40500,0
130837,4600,700
130891,2742,344
130907,2742,344
130916,2742,344
130934,6226,830
130943,9670,1522
130989,19560,300
131098,20685,880
131113,9420,50
131159,37554,517
131283,35260,200
131308,29940,200
131399,6380,620
131405,.,.
131450,11610,376
131469,42332,45
131496,40920,473
131520,19150,1082
131803,14670,135
131830,8300,0
131876,20150,825
131973,.,.
132338,17604,50
132408,8700,400
132471,28160,0
132523,.,.
132602,13990,0
132657,30200,1500
132693,1892,556
132709,1810,636
132806,17316,1621
132842,11304,744
132851,1819,546
132879,9552,1020
132903,3848,1736
132976,3336,50
133021,2365,735
133085,15440,65
133386,3074,30
133465,15735,175
133492,34250,296
133508,2508,220
133526,10994,0
133553,28680,1172
133650,3100,2087
133669,2480,1784
133702,1995,505
133711,14510,0
133809,12400,780
133872,9450,580
133881,34430,560
133951,3580,1618
133960,2365,709
133979,12424,2000
133997,16560,184
134079,25529,583
134097,3100,2726
134130,4060,1597
134149,14796,180
134237,18025,2882
134307,2150,220
134343,2042,723
134422,10320,300
134495,1875,548
134510,4912,310
134608,2376,258
134680,18480,600
134811,17604,100
134909,17748,300
134945,27900,0
135063,7320,90
135081,14184,880
135160,2255,668
135188,2997,0
135364,5160,360
135391,2365,709
135522,2445,400
135610,10200,450
135717,2365,799
135726,38440,1214
135939,15549,0
135957,15552,180
136011,15552,0
136066,16500,2064
136075,19105,110
136145,2139,667
136172,3368,1696
136206,19086,1054
136215,22650,564
136233,2256,451
136288,14436,180
136330,23800,300
136358,2304,20
136400,2188,656
136473,1954,586
136516,2373,741
136659,2270,10
136701,.,.
136765,2742,0
136774,32280,2560
136950,38400,0
137032,18200,370
137078,2324,664
137096,1840,617
137148,12240,372
137209,2365,766
137272,17000,0
137281,2264,292
137315,2986,25
137351,5726,74
137476,23910,0
137537,14800,100
137546,32940,2138
137564,17118,600
137759,1997,20
137777,10250,250
137801,15156,180
137810,15156,180
137847,22834,1142
137953,7680,1050
137962,11354,800
138187,2300,672
138275,16360,300
138293,19670,0
138309,12600,20
138354,3421,1683
138558,2221,1002
138600,31980,215
138655,8210,50
138664,8210,50
138682,1800,294
138691,1976,1064
138716,3421,1400
138761,12112,380
138789,3522,1332
138813,17496,0
138840,1800,252
138868,15476,750
138901,1976,930
138929,.,.
138947,18106,806
138956,1800,262
138983,4402,1340
139010,1976,888
139074,16601,0
139144,25890,200
139153,8640,300
139199,20864,260
139205,11600,2190
139214,11511,450
139250,2221,1650
139278,1800,392
139287,10440,610
139311,3522,1404
139348,.,.
139357,1800,248
139366,3251,1670
139384,1800,248
139393,26470,750
139463,2776,846
139533,15294,80
139579,15735,175
139621,1976,836
139630,14550,0
139658,40600,564
139700,1976,447
139719,4402,1628
139746,6655,80
139755,6676,2370
139764,3313,1258
139773,2232,754
139861,5509,1872
139904,4104,549
139931,3644,1872
139940,5826,2128
139959,6676,2190
139968,2169,796
139986,1800,278
139995,9000,0
140003,9375,175
140012,1800,464
140085,1800,280
140146,.,.
140164,3494,1548
140234,23212,60
140243,2250,276
140252,8068,747
140304,1800,280
140322,2620,468
140331,1800,322
140340,11760,0
140401,7282,1626
140447,31248,300
140483,2170,846
140553,21618,2174
140562,.,.
140599,2700,372
140669,3615,1718
140678,1800,316
140696,28900,250
140720,11550,952
140818,19000,0
140827,17400,625
140872,17500,170
140942,2250,292
140951,30510,500
140960,4238,1630
140988,17500,370
140997,2470,1030
141006,2250,332
141015,15826,375
141060,19684,3570
141097,3803,1396
141158,1800,248
141167,12600,720
141185,16710,200
141237,14460,550
141255,3375,453
141264,3639,1910
141307,2470,704
141325,18500,0
141334,3787,1858
141361,20003,535
141468,12975,120
141486,18300,140
141565,5640,304
141574,8400,700
141644,16510,100
141680,2328,30
141796,2328,60
141802,2328,60
141811,2328,45
141839,2328,126
141936,.,.
141981,5136,10
141990,2328,40
142090,9720,380
142115,3724,1842
142179,1932,220
142276,4180,1616
142285,3874,1982
142294,21940,425
142328,4144,1204
142337,17748,300
142443,2680,1084
142461,23730,300
142522,3470,341
142559,3640,0
142832,.,.
142887,26200,370
143048,36930,630
143084,33363,0
143118,19250,200
143215,6468,112
143233,.,.
143279,5940,285
143288,16076,220
143297,17942,750
143358,26400,304
143613,5730,0
143659,.,.
143853,.,.
143978,.,.
144005,6648,2414
144014,.,.
144050,41853,930
144157,5207,400
144166,5207,400
144175,5207,400
144184,5207,400
144193,5207,400
144209,5207,400
144218,5207,400
144281,20094,550
144351,24944,512
144467,15776,0
144564,5550,360
144740,30000,618
144759,15294,80
144865,9157,1051
144883,15900,750
144892,7330,2464
144944,8064,10
144962,29994,60
144971,17940,810
145239,15080,100
145275,.,.
145336,7290,1646
145354,9758,400
145372,22034,164
145460,18250,1050
145497,18740,380
145521,3576,216
145558,.,.
145600,9879,2892
145619,22256,928
145628,.,.
145637,11847,2734
145646,36392,180
145682,6750,0
145691,24030,500
145707,7252,490
145725,33100,1160
145770,12240,372
145813,8711,2336
145831,7449,246
145886,.,.
146010,14580,450
146205,6480,0
146241,.,.
146278,6900,300
146296,7475,810
146339,25400,710
146348,4548,300
146366,5280,384
146384,.,.
146393,16300,825
146418,9210,330
146427,34110,354
146472,6524,448
146481,36280,640
146490,.,.
146506,5618,579
146533,12540,2135
146603,8370,510
146612,24770,0
146621,23500,1200
146667,14340,240
146676,23000,0
146685,4296,264
146719,32200,1094
146728,.,.
146755,21805,2178
146816,12000,960
146825,19900,500
146977,.,.
147004,7766,299
147013,23290,900
147031,.,.
147129,9264,1130
147165,13875,0
147244,27852,660
147341,28650,0
147369,8480,2046
147378,7380,276
147396,13900,1200
147411,6624,660
147536,18855,40
147590,13580,419
147660,29493,240
147679,20990,60
147697,.,.
147703,7605,3376
147749,21360,560
147767,41592,391
147776,6000,1279
147800,8061,159
147828,26750,840
147916,7530,240
148007,6192,332
148016,25200,440
148131,23340,800
148140,10266,869
148177,17496,570
148256,4275,0
148292,11426,162
148335,21600,0
148380,7920,314
148399,13696,200
148405,25470,100
148487,25000,200
148496,26460,150
148511,25402,0
148575,15376,724
148584,25482,450
148593,14004,797
148627,26280,780
148654,6432,1645
148672,7424,75
148724,.,.
148821,4140,0
148849,26510,3640
148876,8760,0
148885,.,.
148937,4170,120
148982,.,.
148991,6600,360
149019,0,0
149028,19360,298
149222,7337,3244
149231,6046,2190
149310,13500,0
149329,12000,0
149365,8640,473
149505,22232,340
149514,24200,410
149532,7314,322
149639,21900,1290
149727,6346,120
149763,22036,580
149772,7026,2811
149781,28960,0
149842,8628,450
150048,13650,230
150066,24540,70
150136,7912,646
150145,23030,0
150163,31110,838
150172,14680,200
150215,.,.
150251,12600,650
150288,.,.
150400,36500,470
150455,37500,784
150534,28620,796
150604,25680,185
150640,2500,15
150668,25700,0
150677,22546,0
150756,28250,600
150774,21700,1200
150941,22710,500
150978,3234,120
150987,3234,120
150996,3234,120
151005,3234,120
151014,3234,120
151023,3234,120
151032,3234,120
151041,3234,120
151050,3234,120
151069,3234,120
151078,3234,120
151087,3234,120
151096,3234,120
151102,5855,853
151111,7437,806
151157,12780,435
151166,12780,435
151193,12780,435
151209,12780,435
151236,12780,435
151245,12780,435
151263,22790,220
151290,23050,380
151306,5792,240
151324,7782,200
151333,5804,519
151342,5989,518
151351,8433,1091
151360,5896,512
151379,5814,551
151388,5818,462
151458,13380,0
151467,13800,50
151494,17748,300
151500,17748,300
151519,16542,300
151537,14000,600
151616,10568,547
151625,10568,540
151777,25100,850
151786,26000,0
151801,21956,0
151810,13200,320
151865,.,.
151944,10568,540
151962,9000,50
152080,40910,507
152099,16200,440
152248,5508,602
152266,5608,526
152318,37197,750
152336,23100,850
152363,26140,190
152381,24940,750
152390,31300,700
152451,.,.
152497,15600,1140
152530,27200,238
152567,26600,130
152600,30000,1040
152637,4249,486
152673,31800,650
152798,15936,1680
152822,13500,267
152992,23600,1094
153001,27226,0
153108,27414,430
153126,24950,810
153144,32060,320
153162,32720,200
153214,3930,0
153241,11600,100
153250,23900,400
153269,28250,132
153278,22000,620
153296,3336,624
153302,12766,704
153311,3840,0
153320,14058,420
153366,21490,300
153375,20648,370
153384,39250,560
153409,24523,20
153418,15327,25
153427,11025,0
153445,3724,168
153472,3288,0
153524,3780,420
153533,4448,556
153542,3600,300
153603,6408,1078
153621,23160,0
153630,3780,400
153658,6436,1329
153737,3840,0
153825,25906,1352
153834,34735,150
153861,24000,430
153922,3336,624
153977,13900,0
154004,22880,1170
154013,24360,0
154022,9360,288
154059,3666,739
154095,6408,942
154101,24480,150
154110,4640,416
154129,3960,1050
154156,.,.
154174,7740,105
154235,24680,240
154262,15300,920
154350,27568,555
154378,4050,0
154396,3870,360
154493,23356,0
154518,18622,976
154527,30110,850
154536,.,.
154572,2976,372
154590,16829,391
154642,1504,576
154688,23310,80
154697,1824,960
154712,21475,0
154721,21077,600
154749,21700,0
154767,10568,540
154776,10568,540
154794,28814,5388
154800,2550,372
154837,6480,300
154855,18100,300
154907,2220,570
154925,880,1040
154934,1824,1120
154952,1798,806
154998,1120,1380
155007,5992,40
155025,3864,1088
155052,2880,1300
155061,3156,926
155070,11000,2790
155089,20880,150
155098,1320,1110
155104,1440,832
155140,0,182
155177,21312,340
155186,1710,1320
155195,2080,544
155201,1040,1216
155210,2880,0
155292,1740,390
155317,7611,858
155335,20866,850
155399,6936,721
155414,21400,0
155450,1350,1050
155487,3246,969
155496,12066,490
155511,20015,585
155520,20500,1000
155566,1600,768
155593,3420,1183
155627,21200,480
155636,10080,0
155681,4132,1030
155715,1632,1188
155812,20300,470
155830,2956,873
155858,1340,800
155900,21530,150
155937,19950,200
155973,21160,580
156082,5184,86
156107,5040,1415
156125,5005,1184
156189,8100,1500
156213,24058,171
156222,.,.
156231,3240,0
156286,30900,1240
156295,0,910
156338,3240,0
156356,17700,440
156365,20290,450
156392,3240,50
156408,34000,0
156417,5220,360
156541,17640,360
156620,6960,0
156648,3240,0
156727,.,.
156745,29300,0
156790,3240,0
156851,3240,0
156860,3240,0
156903,15600,960
156921,3240,80
157021,10980,121
157030,6000,690
157058,5208,600
157076,18790,600
157085,8122,1006
157100,14820,330
157207,.,.
157216,19800,230
157270,18825,1735
157289,8930,0
157298,.,.
157304,3240,0
157331,3240,0
157359,12100,1250
157377,19800,150
157386,6942,0
157401,5652,924
157438,3240,80
157447,7488,96
157465,11700,1375
157483,3240,0
157535,16250,0
157553,3240,0
157599,10568,540
157632,16950,130
157696,10568,540
157711,3240,0
157739,3240,144
157748,12960,410
157757,19350,0
157766,15870,540
157793,16980,600
157809,23925,720
157818,27100,1150
157863,19174,905
157951,8084,0
158088,984,490
158325,9300,600
158334,4500,1700
158352,984,520
158431,2112,540
158477,24030,1260
158662,2640,690
158723,9590,190
158769,984,500
158802,13650,1120
158884,2112,494
159009,3460,1426
159373,3359,724
159382,3320,866
159391,4558,1796
159407,2742,0
159416,3433,1061
159443,984,490
159568,11850,1530
159647,4189,1707
159656,32266,1036
159717,3312,1071
159939,4644,570
159948,5486,247
159966,3450,1287
159993,3478,1623
160010,984,510
160029,.,.
160038,3440,1532
160065,8160,1062
160074,8344,744
160409,12860,1878
160481,2112,460
160524,16131,0
160579,2112,490
160612,3393,1211
160621,5074,0
160630,2676,1230
160649,2024,972
160658,4864,0
160667,1422,514
160755,39850,3584
160904,16900,1000
160913,984,480
160940,17250,1050
160959,35532,531
160968,.,.
160977,42550,250
161004,42386,430
161022,7590,1795
161077,2580,990
161086,41020,1800
161138,2580,687
161165,14105,330
161192,2580,606
161208,18000,720
161217,6510,938
161226,8352,1015
161235,6600,975
161244,6660,820
161253,8370,2218
161299,8600,2705
161341,6600,700
161457,29430,1070
161484,2580,733
161509,28665,680
161518,27700,1000
161545,2580,890
161554,7590,1310
161563,22160,610
161572,22440,1100
161581,2580,923
161688,5700,206
161767,5190,460
161864,2640,472
161873,5700,1800
161882,17787,7018
162007,4547,1800
162061,20400,572
162104,5400,310
162122,4440,1021
162168,4732,708
162210,18900,1280
162283,3742,1990
162557,5520,530
162584,5304,1824
162609,6048,702
162654,36012,542
162681,14280,55
162690,3864,340
162706,3936,236
162760,30620,440
162779,6060,598
162928,42280,0
163046,39470,1400
163204,5856,312
163259,7297,1669
163268,6879,2588
163286,6966,1689
163295,36170,1300
163338,4362,2120
163426,6750,1770
163453,4540,2388
163462,30836,700
163532,9400,0
163578,28700,1000
163657,4008,986
163842,15824,40
163851,5260,2072
163912,12005,2440
163921,7720,200
163976,43256,400
164076,5496,2410
164085,.,.
164155,0,0
164173,22020,1616
164207,11374,1230
164216,37882,660
164243,.,.
164270,34780,0
164313,4872,198
164438,7800,75
164447,27902,0
164465,42170,728
164474,.,.
164492,27144,2716
164562,32180,365
164580,40400,0
164614,9500,1540
164632,27045,0
164641,19869,450
164720,27050,1440
164739,36840,1488
164748,33460,1220
164775,624,3816
164872,16594,50
164915,.,.
164924,41480,724
164933,35800,1858
164988,40848,572
165015,40514,1346
165024,910,6642
165033,576,3482
165112,576,2808
165167,13140,100
165194,576,3368
165264,25495,1360
165334,37000,350
165495,.,.
165529,30700,1510
165574,30570,0
165644,24360,940
165662,32128,600
165671,32100,200
165699,26730,400
165705,.,.
165802,24783,995
165820,970,7330
165866,970,6610
165884,15950,0
165936,29330,1296
165945,.,.
165981,624,3974
166018,41900,1000
166027,36305,3546
166045,17280,200
166054,19900,325
166124,40910,578
166133,3288,180
166276,11818,0
166391,26500,1000
166407,28000,1300
166452,30170,375
166489,29700,500
166513,1454,9843
166601,14250,1150
166629,1714,10898
166638,1714,9693
166647,576,3048
166656,25650,805
166674,9700,0
166683,40460,272
166692,1395,5472
166708,.,.
166717,.,.
166823,576,3144
166850,31765,1100
166869,31100,1650
166887,576,3554
166911,24750,1050
166939,41270,186
166948,25650,265
166957,600,4130
166984,31996,1170
167057,36250,450
167093,.,.
167181,.,.
167215,.,.
167224,23000,0
167251,25500,1100
167260,30100,300
167288,1030,7045
167312,600,3288
167321,18552,200
167358,37840,412
167376,600,2928
167394,26812,1316
167455,22042,150
167464,.,.
167525,4080,20
167534,576,4176
167598,31785,0
167631,624,3338
167677,13750,0
167729,910,6760
167783,32376,980
167792,43000,840
167835,39800,270
167899,30220,440
167905,750,4026
167987,1417,9718
167996,33920,0
168005,29778,116
168148,41998,964
168218,40410,250
168227,24000,1025
168254,28734,2110
168263,970,6916
168281,41600,294
168290,28990,1065
168342,42938,252
168421,39450,580
168430,970,6683
168528,27050,390
168546,32100,562
168591,28980,250
168607,4620,540
168740,22680,748
168786,23206,180
168838,7560,0
168847,7560,0
168883,4923,316
169080,25340,225
169099,.,.
169187,10397,306
169220,.,.
169248,9716,0
169275,3545,234
169327,17760,0
169363,21600,0
169424,.,.
169442,31440,1345
169479,12096,440
169521,3900,374
169628,.,.
169655,11700,825
169716,32500,0
169734,16080,0
169761,16080,0
169798,7409,1275
169910,9744,0
169974,3072,456
169983,29536,452
169992,3968,550
170000,11860,0
170037,21818,570
170055,5028,224
170082,9716,0
170091,11880,1500
170240,3240,458
170301,26860,160
170417,17748,300
170444,3396,744
170532,35508,412
170541,4092,25
170550,3999,248
170587,3570,315
170620,3660,1050
170639,9264,100
170657,4740,200
170675,25758,520
170790,3968,100
170806,14580,120
170842,17640,380
170967,17394,1728
170976,12440,194
171100,12769,0
171128,12615,238
171137,9043,363
171146,8365,406
171155,4104,140
171225,4140,60
171234,4590,270
171298,7560,0
171304,4435,320
171395,3198,384
171456,7776,638
171483,4700,400
171492,19086,1054
171535,3387,105
171571,10399,0
171599,20302,816
171881,16976,550
172033,15927,100
172051,7377,438
172200,3690,210
172264,19934,620
172291,5751,98
172307,3976,1178
172334,20980,540
172422,16200,0
172440,19398,500
172477,.,.
172608,10050,375
172617,3264,168
172635,2640,268
172644,9381,1197
172671,3312,206
172699,8762,844
172705,.,.
172866,18866,569
172918,4642,527
172954,4818,608
172963,4181,632
172972,3100,70
173045,29794,624
173063,4770,572
173115,5040,292
173124,6904,954
173142,21950,460
173160,29320,140
173179,.,.
173203,4589,620
173258,42690,252
173300,29150,210
173328,28500,0
173416,4897,624
173452,11320,0
173461,4248,624
173489,15750,35
173559,4662,476
173629,15660,0
173638,4948,476
173647,35100,420
173665,31652,342
173683,19843,360
173708,4521,302
173735,4460,564
173799,4650,502
173805,4547,572
173887,17316,300
173896,.,.
173902,41800,200
173911,4650,519
173920,6350,798
173957,.,.
173984,12240,372
173993,4546,564
174020,6028,313
174066,11650,1372
174075,9694,1403
174118,14220,50
174127,30386,200
174136,4523,669
174154,11040,0
174206,14800,480
174233,11322,1164
174251,11322,769
174279,15660,0
174358,6568,810
174376,5220,436
174385,13527,405
174394,17100,0
174428,4704,744
174437,16770,1126
174473,4759,455
174482,17280,0
174491,25490,210
174507,9930,583
174525,14102,250
174570,3552,389
174604,4547,594
174738,4757,684
174747,33458,850
174756,4628,520
174783,6285,820
174792,33022,584
174817,26750,500
174844,38150,0
174862,21470,0
174899,29328,178
174914,31504,569
174932,24310,500
175005,23159,280
175014,14220,40
175041,4669,317
175078,6679,1064
175139,.,.
175157,4547,594
175227,16182,1380
175236,4653,520
175263,5160,565
175272,6660,1880
175281,.,.
175315,4644,557
175342,3970,1277
175421,18420,0
175430,8160,970
175519,1900,140
175528,14850,0
175573,2100,150
175616,4702,586
175643,1790,190
175652,2050,400
175786,1960,100
175810,1850,288
175829,1900,120
175856,5504,0
175883,2148,232
175935,2000,230
175980,27650,1832
176008,2330,0
176017,5790,0
176026,5792,544
176035,4876,0
176044,5232,75
176053,13340,698
176071,2300,412
176080,5805,0
176169,2100,30
176178,1950,0
176239,2000,180
176318,8100,0
176336,4500,90
176354,1950,140
176372,5834,0
176406,9740,477
176451,.,.
176479,9750,600
176600,.,.
176619,.,.
176628,22250,850
176637,17748,300
176664,6720,200
176770,10487,1425
176789,9600,768
176910,9600,3600
176938,12050,0
176947,19400,730
176965,6945,840
177038,7704,420
177065,5679,0
177083,16860,200
177092,.,.
177117,15200,700
177126,.,.
177135,2400,288
177144,22250,300
177162,15294,80
177214,20500,543
177250,2256,240
177278,.,.
177302,13125,345
177339,16910,1090
177418,20860,360
177427,.,.
177436,11800,693
177472,2916,408
177542,16180,722
177551,4133,420
177579,13380,50
177676,3240,0
177719,33637,1677
177746,30762,0
177816,16222,1025
177834,.,.
177870,3850,650
177940,5964,514
177968,13650,350
177977,4470,1080
177986,3600,260
177995,4530,180
178004,8800,722
178022,4530,180
178059,21922,960
178110,9750,100
178208,6300,340
178217,3450,0
178226,14617,306
178244,18700,950
178305,11065,0
178314,7000,305
178341,4890,526
178350,13800,530
178369,17100,680
178387,4378,568
178396,7848,1141
178402,7737,1292
178411,7848,1236
178420,7737,1301
178448,3030,330
178518,.,.
178606,4000,200
178615,6772,236
178624,4021,1926
178679,9600,540
178697,17600,430
178721,9240,50
178767,16200,0
178785,4530,180
178891,13608,170
178989,27770,850
179043,27770,740
179070,12798,0
179159,33470,516
179201,11833,0
179256,14400,1300
179265,24880,600
179308,3750,270
179317,.,.
179326,17400,800
179344,3210,294
179450,11610,1372
179511,19200,450
179539,3060,540
179548,26420,200
179557,5634,921
179566,5820,778
179645,4212,612
179715,3060,600
179742,.,.
179812,.,.
179867,40950,1042
179894,22340,60
179919,15500,3500
179946,19750,820
179955,28506,0
179964,18450,550
180054,1800,390
180081,3142,0
180106,24648,550
180151,6090,1440
180160,1960,300
180179,4187,1283
180197,4088,941
180203,1740,670
180212,1680,570
180249,2496,572
180258,18480,1100
180276,2358,672
180328,2400,360
180373,3270,1320
180416,6420,0
180461,5077,1351
180489,4384,1558
180522,3765,1305
180595,21684,450
180647,4968,1173
180692,3523,1003
180814,6240,300
180832,10272,744
180878,11076,598
