UNITID,TUITION2,FEE2
137847,23990,1782
137953,8790,1050
137962,12528,800
138187,1888,490
138275,17880,550
138293,21050,0
138309,10764,0
138354,3735,2038
138558,2846,1002
138600,34548,240
138655,8880,50
138664,8400,50
138682,2040,394
138691,2077,1164
138716,3700,1400
138761,13098,460
138789,3699,1386
138813,17496,100
138840,2040,504
138868,16250,1150
138901,2076,930
138929,.,.
138947,19488,1612
138956,2040,458
139010,2077,888
139074,13089,0
139144,28890,200
139153,8640,300
139199,23000,300
139205,12410,1150
139214,12450,450
139250,2918,1320
139278,2040,588
139287,8160,500
139311,3699,1454
139348,.,.
139357,1275,254
139366,3534,1535
139384,2040,504
139393,28300,800
139463,2334,992
139579,16185,175
139621,2596,1610
139630,16800,0
139658,43400,608
139700,2026,694
139719,4624,1814
139746,6705,235
139755,8258,2392
139764,3699,1336
139861,6800,1990
139904,4356,498
139931,3979,2092
139940,6240,2128
139959,8028,2234
139968,2334,1074
139986,3825,768
139995,10500,0
140003,9750,175
140012,2040,660
140146,.,.
140164,3984,1834
140234,25400,230
140243,2550,472
140252,9874,747
140331,2040,532
140340,11880,0
140447,32820,300
140553,23380,2088
140562,.,.
140599,2040,444
140678,2040,536
140696,31000,280
140720,11880,1452
140818,20730,0
140827,18000,625
140872,18500,170
140942,2040,468
140951,32950,500
140960,3699,1716
140988,19300,370
141006,2040,588
141015,15696,375
141060,21309,3325
141097,4310,1422
141158,2040,444
141167,13890,850
141185,18500,500
141237,15860,550
141255,2040,498
141264,3979,1910
141325,19500,275
141334,3979,1858
141361,24500,605
141468,13500,120
141486,19960,130
141565,6192,344
141574,9144,760
141644,19980,200
141680,2544,30
141796,2544,60
141802,2544,108
141811,2544,55
141839,2544,126
141936,.,.
141981,6096,240
141990,2544,40
142090,10700,380
142115,4309,1983
142179,2122,220
142276,4688,1656
142285,4534,1990
142294,23300,755
142328,4560,1224
142337,17748,300
142443,3024,958
142461,26150,400
142522,3650,200
142559,3640,0
142832,.,.
142887,28600,420
143048,39810,775
143084,35835,0
143118,20500,220
143215,8484,140
143233,.,.
143279,6720,0
143288,18146,360
143297,19782,750
143358,29320,344
143613,5600,50
143659,.,.
143853,.,.
143978,.,.
144005,6456,2576
144014,.,.
144050,45324,1062
144157,5561,400
144166,5561,400
144175,5561,400
144184,5561,400
144193,5561,400
144209,5561,400
144218,5561,400
144281,22132,660
144351,27044,554
144467,12910,0
144564,5700,585
144740,33390,600
144865,9413,1051
144883,17550,1245
144892,8132,2654
144944,8520,10
144962,32720,200
144971,19210,850
145239,15080,100
145275,.,.
145336,6120,1442
145354,10955,667
145372,23436,176
145460,18255,1050
145497,18195,410
145521,4080,384
145558,.,.
145600,11162,3004
145619,24498,1018
145628,.,.
145637,13294,2916
145646,39136,180
145682,7650,0
145691,27300,500
145707,8383,490
145725,37333,1250
145770,13464,199
145813,9767,2571
145831,8747,247
145886,.,.
146010,14400,0
146205,7890,0
146241,.,.
146278,6990,300
146296,7484,930
146339,26750,780
146348,5800,390
146366,5888,448
146393,17385,863
146418,8910,390
146427,38286,666
146472,6720,532
146481,39168,674
146490,.,.
146506,6343,609
146533,13200,2135
146603,9090,510
146612,26780,0
146621,23500,1325
146667,15810,240
146676,16500,1000
146685,4752,264
146719,34343,1230
146728,.,.
146755,23818,2794
146816,12000,820
146825,21900,550
146977,.,.
147004,9040,284
147013,25050,1000
147031,.,.
147129,15780,1250
147165,16230,0
147244,27852,792
147341,31500,0
147369,9120,2236
147378,7890,516
147396,14390,1200
147411,6624,660
147536,18855,300
147590,14406,427
147660,32433,180
147679,23290,60
147697,.,.
147703,8601,3745
147749,16020,195
147767,45120,407
147776,6391,1572
147800,8061,159
147828,29050,840
147916,8550,255
148007,6600,384
148016,25500,480
148131,24974,860
148140,11732,880
148177,17388,100
148256,4455,90
148292,6810,204
148335,22800,0
148380,7650,314
148399,13960,200
148405,26610,100
148487,26500,0
148496,28440,370
148511,32576,0
148575,16368,729
148584,27400,570
148593,16534,1072
148627,28150,820
148654,7176,1776
148672,9002,150
148724,.,.
148821,4380,0
148849,27491,4036
148876,9120,0
148885,.,.
148937,4350,120
148982,.,.
148991,7440,600
149028,21088,350
149222,7917,3564
149231,6626,2312
149310,13500,0
149329,12000,0
149365,9540,533
149505,23980,455
149514,26390,440
149532,8070,362
149639,23450,1440
149727,6444,120
149763,23152,580
149772,7822,3132
149781,30880,0
149842,8772,450
150048,13000,230
150066,26200,80
150136,8498,662
150145,24620,350
150163,33490,878
150172,15420,200
150215,.,.
150251,12600,900
150288,.,.
150400,40150,490
150455,40600,850
150534,29740,856
150604,27510,185
150668,28500,0
150677,23970,0
150756,31160,600
150774,22778,900
150941,23300,740
150987,3485,120
151102,6121,892
151111,7750,1006
151166,14040,2700
151263,24420,240
151290,24450,410
151306,6358,340
151324,8056,200
151333,6086,589
151342,6227,589
151351,8919,1290
151360,6150,589
151379,6111,589
151388,6050,589
151458,13880,0
151467,13880,50
151494,17748,300
151500,17748,300
151519,16542,300
151537,14400,600
151616,11304,810
151625,11304,810
151777,27000,920
151786,28400,0
151801,23628,0
151810,11640,320
151865,.,.
151944,11304,810
151962,10500,50
152080,44098,507
152099,19200,0
152248,5887,643
152266,5930,589
152318,39462,792
152336,24010,910
152363,27160,190
152381,27072,600
152390,33860,740
152451,.,.
152497,16880,1210
152530,28514,239
152567,28700,150
152600,32400,1080
152637,4609,410
152673,35000,650
152798,16771,2058
152822,14550,363
152992,25464,1296
153001,29448,0
153108,30700,0
153126,27100,900
153144,35400,330
153162,36205,225
153214,4080,0
153241,12000,100
153250,26100,440
153269,30734,146
153278,24360,1160
153296,3552,624
153302,14600,790
153311,4020,0
153320,15070,476
153366,23180,350
153375,22208,420
153384,43720,386
153409,15327,25
153418,15327,25
153427,11625,0
153445,3948,168
153472,3576,0
153524,4110,420
153533,4768,556
153542,3600,300
153603,6648,1078
153621,25530,0
153630,3960,430
153658,6678,1383
153737,4200,0
153825,27524,1328
153834,37330,200
153861,26000,430
153922,3552,624
153977,15040,0
154004,24720,1270
154013,26160,150
154022,9912,400
154059,3833,780
154095,6648,1037
154101,26614,150
154110,4800,416
154129,4320,1050
154156,.,.
154174,8283,105
154235,26500,240
154262,16740,1230
154350,30423,576
154378,4350,0
154396,4620,360
154493,24400,0
154518,19226,1050
154527,33400,850
154536,.,.
154572,3120,408
154590,17500,460
154642,1728,576
154688,25200,380
154697,1888,1024
154712,23650,250
154721,22680,625
154749,23500,0
154767,11304,810
154776,11304,810
154794,13365,1395
154800,2850,555
154837,6480,500
154855,14450,350
154907,2370,690
154925,960,1120
154934,1920,1216
154952,1829,837
154998,1200,1500
155007,5920,100
155025,4368,1246
155052,3520,1722
155061,3360,998
155070,11000,3090
155089,23250,180
155098,1500,1200
155104,1696,864
155140,0,182
155177,23174,350
155186,1920,1080
155195,2272,576
155201,1232,1216
155210,2520,480
155292,2040,450
155317,8396,882
155335,22700,950
155399,7830,755
155414,23800,0
155423,4272,336
155450,1440,1140
155487,3697,891
155496,13152,490
155511,22277,614
155520,21200,1090
155566,1792,1184
155593,3564,1375
155627,23364,600
155636,10920,0
155681,4710,1196
155715,1792,1348
155812,22600,570
155830,3355,1035
155858,1472,960
155900,23736,150
155937,20950,250
155973,22000,730
156082,5688,86
156107,5510,1532
156125,5622,1304
156189,8920,1700
156213,25894,182
156222,.,.
156231,3456,0
156286,33550,1340
156295,22100,1070
156338,3456,0
156356,19000,440
156365,21696,500
156392,3456,60
156408,36000,20
156417,5736,700
156541,18640,360
156620,7536,0
156648,3456,0
156727,.,.
156745,32310,0
156790,3456,0
156851,3456,0
156860,3456,0
156903,18000,0
156921,3456,80
157021,11412,138
157030,6450,690
157058,5676,600
157076,20600,600
157085,9012,1098
157100,17088,330
157207,.,.
157216,21840,230
157270,17592,1735
157289,9750,196
157298,.,.
157304,3456,0
157331,3456,0
157359,8190,483
157377,22000,150
157386,7498,0
157401,6060,984
157438,3456,80
157447,8088,288
157465,18000,0
157483,3456,0
157535,17750,0
157553,3456,0
157599,11304,810
157632,17976,130
157696,11304,810
157711,3456,0
157739,3456,144
157748,15024,490
157757,22425,0
157766,16320,540
157793,17520,450
157809,26425,720
157818,30280,1280
157863,21000,1000
157951,8722,0
158088,1186,261
158325,9300,1400
158334,9300,3175
158352,2550,586
158431,2656,636
158477,30740,0
158662,2656,646
158723,9590,95
158802,14600,1178
158884,2656,600
159009,4450,1500
159197,10425,150
159373,4216,820
159382,4200,1137
159391,5891,1982
159407,2300,898
159416,4376,1230
159443,2656,495
159568,12450,1670
159647,5506,1796
159656,35504,1106
159717,4254,1447
159939,5724,854
159948,6000,540
159966,4475,1993
159993,4532,1786
160010,1720,909
160029,.,.
160038,4486,1760
160065,8880,1070
160074,9652,872
160409,14040,2300
160481,2656,586
160524,16011,0
160579,2657,586
160612,4362,1353
160621,6630,0
160630,3500,1350
160649,2618,874
160658,4469,1723
160667,2656,610
160755,43150,3780
160904,18500,2060
160913,1575,525
160940,10080,630
160959,38403,549
160977,45380,270
161004,45004,442
161022,7665,1885
161077,2640,990
161086,43840,1920
161138,2640,940
161165,14760,370
161192,2640,618
161208,18500,850
161217,6510,990
161226,8352,815
161235,6600,975
161244,6600,890
161253,8370,2230
161299,9080,2870
161341,6600,700
161457,31980,1165
161484,2640,668
161509,30260,680
161518,29900,1175
161545,2640,994
161554,7590,1330
161563,22160,610
161572,23900,1100
161581,2640,940
161688,6000,240
161767,5700,770
161864,2288,374
161873,5992,1846
162007,4824,2147
162061,21576,720
162104,5550,660
162122,4680,1076
162168,4152,800
162210,19700,1320
162283,3970,2282
162557,5856,483
162584,5630,2098
162609,6048,728
162654,38462,622
162681,13356,55
162690,4032,418
162706,4296,385
162760,32800,480
162779,5616,565
162928,45470,0
163046,41850,1400
163204,6192,360
163259,7698,1675
163268,7298,2770
163286,7390,1772
163295,39400,1490
163338,4628,2370
163426,6870,1794
163453,4816,2402
163462,33674,970
163532,10000,0
163578,31000,1050
163657,4440,1080
163851,5912,2216
163912,12245,2619
163921,9630,200
163976,45846,450
164076,5830,2512
164085,.,.
164155,0,0
164173,25210,1872
164216,40384,736
164243,.,.
164270,36960,0
164313,5154,288
164368,.,.
164438,9160,75
164447,30040,0
164465,45800,774
164474,.,.
164492,30168,1996
164562,34475,500
164580,43520,0
164614,13500,1366
164632,29959,0
164641,21713,500
164720,30000,1500
164739,39600,1510
164748,36514,1072
164775,624,4054
164872,19401,650
164915,.,.
164924,44870,752
164933,38800,2100
164988,43970,940
165015,44180,1476
165024,910,7143
165033,576,3602
165112,576,2808
165167,13392,0
165194,576,3512
165264,31249,1584
165334,39200,350
165495,.,.
165529,32800,1615
165574,33230,0
165644,26982,940
165662,35072,658
165671,34450,220
165699,28426,500
165705,.,.
165802,26600,975
165820,970,8015
165866,970,7110
165884,16950,0
165936,31820,1410
165945,.,.
165981,624,4214
166018,45100,1300
166027,38891,3401
166045,19200,200
166054,20895,325
166124,43660,612
166133,3384,190
166276,14395,0
166391,28800,1200
166407,22734,1747
166452,32000,375
166489,32500,550
166513,1454,10643
166601,16200,0
166629,1714,11544
166638,1714,10252
166647,576,3600
166656,27600,870
166674,10400,0
166683,43210,288
166692,1465,5662
166708,.,.
166717,.,.
166823,576,3480
166850,33685,1400
166869,40800,2040
166887,576,3698
166911,26520,1250
166939,41270,186
166948,28162,1215
166957,600,4300
166984,38324,1240
167057,39500,455
167093,.,.
167181,.,.
167215,.,.
167224,23700,200
167251,27850,1100
167260,32070,300
167288,1030,7495
167312,600,3456
167321,18540,220
167358,40780,906
167376,600,3288
167394,28722,1450
167455,24300,630
167464,.,.
167525,4512,70
167534,576,4518
167598,34380,0
167631,624,3338
167677,17750,0
167729,910,7220
167783,34350,1030
167792,45618,1095
167835,42840,274
167899,32100,460
167905,750,4356
167987,1417,10264
167996,36160,0
168005,31592,124
168148,45590,1008
168218,43288,266
168227,27950,1250
168254,30780,2240
168263,970,7724
168281,44780,294
168290,30755,1125
168342,46330,270
168421,42178,600
168430,970,7187
168528,30208,550
168546,35454,412
168591,32400,260
168607,5250,540
168740,24648,822
168786,26280,180
168838,8100,0
168847,8100,0
168883,5256,1351
169080,28025,225
169099,.,.
169187,11415,350
169220,.,.
169248,10098,0
169275,4102,396
169327,18720,0
169363,23363,200
169424,.,.
169442,34320,1390
169479,13536,570
169521,4260,440
169628,.,.
169655,13291,1137
169716,35920,0
169734,17568,0
169761,17568,0
169798,7989,1375
169910,10220,0
169974,3672,684
169983,35600,0
169992,4340,952
170000,12235,0
170037,23598,570
170055,5316,426
170082,10716,0
170091,12720,1780
170240,3408,550
170301,28550,170
170417,17748,300
170444,3864,840
170532,39027,423
170541,4681,30
170550,4553,248
170587,4020,475
170620,4035,1320
170639,9840,120
170657,4980,230
170675,28328,620
170790,4216,100
170806,16200,140
170842,19450,400
170967,18856,1064
170976,13783,194
171100,13579,0
171128,13470,258
171137,10230,384
171146,8991,418
171155,6044,140
171225,4740,430
171234,5130,420
171298,8100,0
171304,4800,580
171395,4313,473
171456,8388,649
171483,4785,308
171492,21000,1130
171535,4173,105
171571,11108,0
171599,22200,821
171881,17900,554
172033,16900,100
172051,7985,438
172200,3930,440
172264,21250,640
172291,6138,120
172307,4387,1294
172334,22860,540
172422,17496,0
172440,19980,500
172477,.,.
172608,11640,375
172617,3504,168
172635,2712,268
172644,10654,1314
172671,3720,258
172699,9464,891
172705,.,.
172866,18111,569
172918,4817,568
172954,5010,580
172963,4349,656
173045,32544,665
173063,4950,572
173115,5190,292
173124,7146,978
173142,23500,450
173160,31620,140
173179,.,.
173203,4773,620
173258,45900,267
173300,32600,214
173328,19700,0
173416,5069,624
173452,12300,0
173461,4418,669
173489,15750,35
173559,4824,514
173629,14040,0
173638,5146,514
173647,38660,460
173665,34570,538
173683,20987,360
173708,4680,318
173735,4729,564
173799,4770,502
173805,4729,578
173887,17316,100
173896,.,.
173902,45167,221
173911,4836,534
173920,6667,890
173957,.,.
173984,13464,199
173993,4729,564
174020,6329,313
174066,12060,1495
174075,10030,1418
174118,14640,50
174127,32550,200
174136,4658,692
174154,11150,0
174206,14800,480
174233,11720,1095
174251,11720,864
174279,14040,0
174358,6898,918
174376,5447,495
174385,12456,360
174394,16075,0
174428,4845,849
174437,19540,456
174473,4950,567
174491,27790,230
174507,11176,551
174525,15050,250
174570,3676,389
174604,4729,594
174738,4924,684
174747,36986,940
174756,4767,534
174783,6584,930
174792,36500,662
174817,28790,525
174844,40700,0
174862,22430,0
174899,31416,196
174914,34528,780
175005,26425,280
175014,10764,0
175041,4851,347
175078,6986,1088
175139,.,.
175157,4729,594
175227,17029,1788
175236,4839,551
175263,5353,711
175272,6860,1870
175281,.,.
175315,4818,542
175342,4831,1277
175421,19970,0
175430,8490,980
175519,2100,140
175528,15980,0
175573,2200,150
175616,6012,550
175643,1980,190
175652,2200,400
175786,2160,100
175810,2000,288
175829,2100,120
175856,6348,0
175883,2490,232
175935,2100,310
175980,30500,2020
176008,2450,0
176017,6660,100
176026,6282,566
176035,5640,0
176044,5916,0
176053,14120,748
176071,2300,412
176080,6772,0
176169,2250,51
176178,2250,0
176239,2450,180
176318,8900,0
176336,4700,90
176354,2200,200
176372,6744,0
176406,9740,477
176451,.,.
176479,10200,600
176549,13832,225
176600,.,.
176619,.,.
176628,24000,950
176637,17748,300
176664,7520,570
176770,11126,1468
176789,9600,1056
176910,9600,4200
176947,20590,730
176965,6395,870
177038,8460,660
177065,6200,0
177083,18236,200
177092,.,.
177117,18000,800
177126,.,.
177135,2568,288
177144,23000,300
177214,21700,595
177250,2544,336
177278,.,.
177302,13503,345
177339,18920,1120
177418,22324,360
177427,.,.
177436,11800,690
177472,3120,456
177542,17960,810
177551,4776,444
177579,13800,50
177676,3432,0
177719,25765,1565
177746,33112,600
177816,16709,1025
177834,.,.
177870,3850,650
177940,6150,688
177968,14800,350
177977,4740,1080
177986,4800,280
177995,5010,180
178004,9200,714
178059,23812,1190
178110,10200,125
178208,5930,340
178217,3780,4
178226,14871,288
178244,20700,1090
178305,16391,0
178341,5196,526
178350,14280,530
178369,17800,500
178387,5394,718
178396,8220,1195
178402,8103,1353
178411,8220,1299
178420,9474,0
178448,3510,390
178518,.,.
178615,7096,272
178624,4288,2102
178679,10400,640
178697,17900,430
178721,10500,100
178767,17640,0
178891,14232,225
178989,30550,950
179043,30550,740
179070,12798,0
179159,36090,636
179201,14342,0
179256,7950,0
179265,25463,560
179308,4050,270
179317,.,.
179326,19200,840
179344,3720,300
179450,12749,1623
179539,3930,0
179548,27754,200
179557,5927,936
179566,6120,788
179645,4320,648
179715,3210,600
179742,.,.
179812,.,.
179867,44100,741
179894,23700,60
179919,15500,3500
179946,20540,1140
179955,30272,200
179964,19950,700
180054,2040,470
180081,2380,846
180106,27304,610
180151,2805,1470
180160,1960,300
180179,4397,1348
180197,4133,1059
180203,1740,670
180212,1680,570
180249,2496,589
180258,19860,1100
180276,2358,703
180328,2500,350
180373,3450,1380
180416,5177,1545
180461,5330,1422
